"stationId","stationName","state","wfo","radar","timeZoneId","latitude","longitude"
"KSPA","Spartanburg Memorial","SC","GSP","GSP","America/New_York",34.91667,-81.95
"KSSC","Shaw Air Force Base","SC","CAE","CAE","America/New_York",33.96667,-80.48333
"KUDG","Darlington, Darlington County Jetport Airport","SC","ILM","CAE","America/New_York",34.44917,-79.89028
"KUZA","Rock Hill, Rock Hill - York County Airport","SC","GSP","GSP","America/New_York",34.98389,-81.05583
"KHXD","Hilton Head Island, Hilton Head Airport","SC","CHS","CLX","America/New_York",32.21667,-80.7
"KMNI","Manning / Cooper Regional","SC","CAE","CAE","America/New_York",33.58333,-80.21667
"KGYH","Greenville-Donaldson Center Airport","SC","GSP","GSP","America/New_York",34.7583,-82.3764
"KGGE","Georgetown County Airport       ","SC","ILM","LTX","America/New_York",33.3117,-79.3196
"KHYW","Conway Horry County Airport","SC","ILM","LTX","America/New_York",33.829,-79.122
"KMAO","Marion County Airport","SC","ILM","LTX","America/New_York",34.181,-79.335
"KHVS","Hartsville Regional Airport","SC","ILM","CAE","America/New_York",34.403,-80.119
"KBBP","Marlboro County Jetport","SC","ILM","LTX","America/New_York",34.622,-79.734
"KCQW","Cheraw Municipal Lynch Bellinger Field","SC","CAE","CAE","America/New_York",34.713,-79.957
"KSMS","Sumter Airport","SC","CAE","CAE","America/New_York",33.995,-80.361
"KCDN","Camden Woodward Field","SC","CAE","CAE","America/New_York",34.284,-80.565
"KFDW","Winnsboro/Fairfield County Airport","SC","CAE","CAE","America/New_York",34.315,-81.109
"KEOE","Newberry County Airport","SC","CAE","CAE","America/New_York",34.309,-81.64
"KLUX","Laurens County Airport","SC","GSP","GSP","America/New_York",34.507,-81.947
"KDCM","Chester Catawba Regional Airport","SC","GSP","CAE","America/New_York",34.789,-81.196
"KLKR","Lancaster County-mc Whirter Field","SC","CAE","CAE","America/New_York",34.723,-80.855
"KCKI","Kingstree Williamsburg Regional Airport","SC","ILM","CAE","America/New_York",33.717,-79.857
"KBNL","Barnwell Regional Airport","SC","CAE","CLX","America/New_York",33.258,-81.388
"KAIK","Aiken Municipal Airport","SC","CAE","CAE","America/New_York",33.649,-81.685
"KLRO","Mount Pleasant Regional-Faison Field","SC","CHS","CLX","America/New_York",32.898,-79.783
"KJZI","Charleston Executive Airport","SC","CHS","CLX","America/New_York",32.701,-80.003
"KDYB","Summerville Airport","SC","CHS","CLX","America/New_York",33.063,-80.279
"KRBW","Walterboro Lowcountry Regional Airport","SC","CHS","CLX","America/New_York",32.921,-80.641
"KARW","Beaufort County Airport","SC","CHS","CLX","America/New_York",32.412,-80.634
"KLQK","Pickens County Airport","SC","GSP","GSP","America/New_York",34.80997,-82.70289
"KMKS","Moncks Corner Berkeley County","SC","CHS","CLX","America/New_York",33.1855,-80.0362
"KAQX","Allendale County Airport","SC","CHS","CLX","America/New_York",32.9951,-81.2703
"KFSD","Sioux Falls, Foss Field","SD","FSD","FSD","America/Chicago",43.57694,-96.75361
"KBKX","Brookings, Brookings Municipal Airport","SD","FSD","FSD","America/Chicago",44.3,-96.81667
"KYKN","Yankton, Chan Gurney Municipal Airport","SD","FSD","FSD","America/Chicago",42.91667,-97.38333
"K9V9","Chamberlain, Chamberlain Municipal Airport","SD","FSD","ABR","America/Chicago",43.76667,-99.31833
"KHON","Huron, Huron Regional Airport","SD","FSD","ABR","America/Chicago",44.38806,-98.22833
"KMHE","Mitchell, Mitchell Municipal Airport","SD","FSD","FSD","America/Chicago",43.76667,-98.03333
"KATY","Watertown, Watertown Municipal Airport","SD","ABR","ABR","America/Chicago",44.90472,-97.14944
"KABR","Aberdeen, Aberdeen Regional Airport","SD","ABR","ABR","America/Chicago",45.44333,-98.41306
"KRAP","Rapid City, Rapid City Regional Airport","SD","UNR","UDX","America/Denver",44.04556,-103.05389
"KRCA","Ellsworth Air Force Base","SD","UNR","UDX","America/Denver",44.15,-103.1
"KPIR","Pierre, Pierre Regional Airport","SD","ABR","ABR","America/Chicago",44.38278,-100.28583
"KICR","Winner, Bob Wiley Field Airport","SD","UNR","LNX","America/Chicago",43.39056,-99.8425
"KIEN","Pine Ridge, Pine Ridge Airport","SD","UNR","UDX","America/Denver",43.02556,-102.52306
